folder,category,title,url
TimeXtender Portal,TimeXtender Portal,Configuring Firewall Rules for Instances,https://support.timextender.com/timextender-portal-111/configuring-firewall-rules-for-instances-1390
TimeXtender Portal,TimeXtender Portal,TimeXtender API Endpoints,https://support.timextender.com/timextender-portal-111/timextender-api-endpoints-1110
Data Sources,Data Sources,TimeXtender Oracle Data Source provider for ODX,https://support.timextender.com/data-sources-112/timextender-oracle-data-source-provider-for-odx-709
Data Sources,Data Sources,Connect to Oracle Database,https://support.timextender.com/data-sources-112/connect-to-oracle-database-728
Data Sources,Data Sources,Add and Map a Data Source Connection in the TimeXtender Portal,https://support.timextender.com/data-sources-112/add-and-map-a-data-source-connection-in-the-timextender-portal-731
Data Sources,Data Sources,Connect to an Excel file,https://support.timextender.com/data-sources-112/connect-to-an-excel-file-629
Data Sources,Data Sources,Add a CData Data Source,https://support.timextender.com/data-sources-112/add-a-cdata-data-source-625
Data Sources,Data Sources,Connect to Sharepoint Excel,https://support.timextender.com/data-sources-112/connect-to-sharepoint-excel-626
Data Sources,Data Sources,Connect to Excel files with Excel Online,https://support.timextender.com/data-sources-112/connect-to-excel-files-with-excel-online-628
Data Sources,Data Sources,Connect to JSON,https://support.timextender.com/data-sources-112/connect-to-json-785
Data Sources,Data Sources,Adding a Data Source in the TimeXtender Desktop,https://support.timextender.com/data-sources-112/adding-a-data-source-in-the-timextender-desktop-780
Data Sources,Data Sources,Connect to XML,https://support.timextender.com/data-sources-112/connect-to-xml-811
Data Sources,Data Sources,Connect to a REST API,https://support.timextender.com/data-sources-112/connect-to-a-rest-api-824
Data Sources,Data Sources,CData Providers  - Performance Optimization and Troubleshooting,https://support.timextender.com/data-sources-112/cdata-providers-performance-optimization-and-troubleshooting-868
Data Sources,Data Sources,Advanced RSD file options,https://support.timextender.com/data-sources-112/advanced-rsd-file-options-884
Data Sources,Data Sources,Generate and use RSD files,https://support.timextender.com/data-sources-112/generate-and-use-rsd-files-886
Data Sources,Data Sources,Overview of Data Sources and Provider Types,https://support.timextender.com/data-sources-112/overview-of-data-sources-and-provider-types-1087
Data Sources,Data Sources,Theobald Xtract Universal,https://support.timextender.com/data-sources-112/theobald-xtract-universal-839
Data Sources,Data Sources,TimeXtender Business Central 365 Data Source,https://support.timextender.com/data-sources-112/timextender-business-central-365-data-source-707
Data Sources,Data Sources,Prerequisites to Connecting to Dynamics Business Central 365 Online Data Sources,https://support.timextender.com/data-sources-112/prerequisites-to-connecting-to-dynamics-business-central-365-online-data-sources-1431
Data Sources,Data Sources,TimeXtender Dynamics 365 Finance data source,https://support.timextender.com/data-sources-112/timextender-dynamics-365-finance-data-source-1432
Data Sources,Data Sources,TimeXtender Dynamics 365 Business Central Data Source,https://support.timextender.com/data-sources-112/timextender-dynamics-365-business-central-data-source-1430
Data Sources,Data Sources,Adding a SharePoint site as a data source,https://support.timextender.com/data-sources-112/adding-a-sharepoint-site-as-a-data-source-1457
Data Sources,Data Sources,Connect to CSV data sources,https://support.timextender.com/data-sources-112/connect-to-csv-data-sources-732
General,Documentation and Lineage,Documentation for Instances,https://support.timextender.com/documentation-and-lineage-114/documentation-for-instances-723
General,Documentation and Lineage,Lineage and Visualization,https://support.timextender.com/documentation-and-lineage-114/lineage-and-visualization-827
General,Infrastructure & Networking,Enable Remote Connections to SQL Server using IP address,https://support.timextender.com/infrastructure-networking-133/enable-remote-connections-to-sql-server-using-ip-address-622
General,Infrastructure & Networking,Create a bacpac export,https://support.timextender.com/infrastructure-networking-133/create-a-bacpac-export-760
General,Troubleshooting,ADF execution error: ADLS Gen2 operation failed for: Operation returned an invalid status code 'Forbidden',https://support.timextender.com/troubleshooting-134/adf-execution-error-adls-gen2-operation-failed-for-operation-returned-an-invalid-status-code-forbidden-1229
General,Troubleshooting,"Error: ""Could not load file or assembly""",https://support.timextender.com/troubleshooting-134/error-could-not-load-file-or-assembly-1230
General,Troubleshooting,Error: The type initializer for 'Oracle.DataAccess.Client. OracleConnectionStringBuilder' threw an exception.,https://support.timextender.com/troubleshooting-134/error-the-type-initializer-for-oracle-dataaccess-client-oracleconnectionstringbuilder-threw-an-exception-1240
General,Troubleshooting,Error: Could not load file or assembly 'Microsoft.SqlServer.BatchParser.dll',https://support.timextender.com/troubleshooting-134/error-could-not-load-file-or-assembly-microsoft-sqlserver-batchparser-dll-1241
General,Troubleshooting,"Error: ""Requested registry access is not allowed""",https://support.timextender.com/troubleshooting-134/error-requested-registry-access-is-not-allowed-1242
General,Troubleshooting,Error: Login failed error when executing first dimension,https://support.timextender.com/troubleshooting-134/error-login-failed-error-when-executing-first-dimension-1243
General,Troubleshooting,Error: Faulting module OLEAUT32.dll,https://support.timextender.com/troubleshooting-134/error-faulting-module-oleaut32-dll-1244
General,Troubleshooting,New field in an incremental table doesn't populate,https://support.timextender.com/troubleshooting-134/new-field-in-an-incremental-table-doesn-t-populate-1245
General,Troubleshooting,"Executing a Data Warehouse table from ODX Instance gives error: ""Login failed for user""",https://support.timextender.com/troubleshooting-134/executing-a-data-warehouse-table-from-odx-instance-gives-error-login-failed-for-user-1249
